"id","calories","proteins","fat","carbohydrate","name","image"
"36","452","1.3","13.8","80.6","Bagea kelapa manis","https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg"
"37","529","3.2","29.1","63.6","Bagea kenari asin","https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg"
"38","523","3.2","28.2","64.2","Bagea kenari manis","https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg"
"39","272","8.7","6.7","44.1","Bakpia kue","https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg"
"40","76","4.1","2.5","9.2","Bakso ","https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg"
"41","280","8.2","10.2","39","Bakwan","https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1"
"42","13","0.4","0.2","3","Baligo","https://rimbakita.com/wp-content/uploads/2020/08/kundur.jpg"
"43","110","1.4","1.1","23.4","kelapa ubi bakar","https://img-global.cpcdn.com/recipes/95d754afdf8eb1f2/1200x630cq70/photo.jpg"
"44","92","1.2","0.3","21","kelapa ubi kukus","https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg"
"45","89","1.1","0.1","21","kelapa ubi segar","https://th.bing.com/th?id=ABTE8B1595CD1C0C5A990C01CE78BE64402674F61A3C217A9FF9CCB31D6F7E9E29A&w=1144&h=568&c=1"
"46","45","1.4","0.2","10.3","Bawang Bombay","https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg"
"47","39","1.5","0.3","0.2","Bawang Merah","https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408"
"48","95","4.5","0.2","23.1","Bawang Putih","https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg"
"49","30","1.3","0.7","5.8","Bayam kukus","https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg"
"50","51","4.6","0.5","10","Bayam Merah","https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg"
"51","41","2.2","0.8","6.3","Bayam merah segar","https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/28/6efbc93d-e05c-4446-8c6c-c6d401dc7407.jpg"
"52","23","1.2","0.6","3.7","Bayam rebus","https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg"
"53","36","3.5","0.5","6.5","Bayam segar","https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg"
"54","102","3.7","6.7","6.9","Bayam tumis + oncom","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg"
"55","48","1.4","4.2","2.6","Bayam tumis bersantan","https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe"
"56","326","16","28.6","0","Bebek (itik)","https://asset.kompas.com/crops/6unVsacqX8mpZ19lviQLxyDPCoI=/0x0:1000x667/750x500/data/photo/2020/11/03/5fa0cee5cb3cf.jpg"
"57","303","11.3","27","3.7","Bebek alabio daging segar","https://medioenblog.files.wordpress.com/2018/02/bebek.jpg"
"58","300","24","20.7","4.5","Bebek daging goreng","https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg"
"59","65","1.1","5.2","3.5","Beberuk","https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg"
"60","258","10.6","9.5","32.5","Beef burger","https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg"
"61","151","8.6","3.1","22.3","Beef teriyaki masakan","https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg"
"62","132","9.8","1.1","20.7","Beef yakiniku masakan","https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg"
"63","36","0.4","0.4","8.8","Belimbing","https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg"
"64","145","1.2","0.4","34.2","Belitung talas kukus","https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg"
"65","417","25.9","19.4","32","Belut goreng","https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg"
"66","70","14.6","0.8","1","Belut segar","https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg"
"67","93","12.8","1.5","6.1","Belut laut segar","https://mfcepusluh.bpsdmkp.kkp.go.id/asset/foto_berita/SIDAT_OK_-1.jpg"
"68","55","1.4","0.2","12.8","Bengkuang","https://jovee.id/wp-content/uploads/2020/11/shutterstock_1830526784.jpg"
"69","98","1.6","0.7","20.9","talas segar","https://sampangkabmuseumjatim.files.wordpress.com/2014/08/talas.jpg"
"70","71","2.3","0.3","15.4","talas kukus","https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg"
"71","350","2.7","1.1","82.3","Beras ","https://1.bp.blogspot.com/-bI9SR2CfOMQ/VIuCEHs40eI/AAAAAAAAAK8/iE3VYEXXno8/s1600/1460018_556060297809682_917149226_n.jpg"
"72","360","6.8","0.7","78.9","Beras Giling","https://images.pexels.com/photos/4187621/pexels-photo-4187621.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
"73","178","2.1","0.1","40.6","nasi","https://e0.pxfuel.com/wallpapers/769/103/desktop-wallpaper-white-rice-rice-bowl.jpg"
"74","351","8","1.3","76.9","Beras hitam mentah","https://statik.tempo.co/data/2022/01/25/id_1083329/1083329_720.jpg"
"75","358","5.5","0.1","82.7","Beras jagung kuning kering mentah","https://thumbs.vdvc.id/olret/images/original/2022/07/21/62d900a97984b-manfaat-tepung-jagung_olret.jpg"
"76","307","4.8","0.1","71.8","Beras jagung putih kering mentah","https://awsimages.detik.net.id/community/media/visual/2016/05/06/8a8ccd2e-6879-4e3a-9082-e632e117354c.jpg?w=852"
"77","356","7","0.7","78","Beras Ketan Hitam","https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg"
"78","181","4","1.2","37.3","Beras Ketan Hitam kukus","https://img.freepik.com/free-photo/purple-rice-berries-cooked-wooden-dish-with-mint-leaves_1150-19858.jpg?w=1060&t=st=1683884169~exp=1683884769~hmac=cbae358960d57fe16933cd26ccb63b1353dd59576d26b5334b0f7a9f732a4539"
"79","166","3.8","1","34.4","Beras Ketan Hitam tape","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/19/6313260c-769d-4875-a3b2-ab4681eff412.jpg"
"80","360","8","2.3","74.5","Beras Ketan Hitam tumbuk","https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg"
"81","360","8","2.3","74.5","Beras ketan hitam tumbuk mentah","https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg"
"82","362","6.7","0.7","79.4","Beras Ketan Putih","https://img.freepik.com/free-photo/milled-rice-bowl-wooden-spoon-black-cement-floor_1150-20058.jpg?w=1060&t=st=1683884494~exp=1683885094~hmac=087d2b8d5b7ba0d5d39291bc84cfdab7dd5e308ae534fd542be811d73f1b8eed"
"83","163","3","0.4","35.7","Beras Ketan Putih kukus","https://img.freepik.com/free-photo/white-rice-is-placed-cup-wooden-floor_1150-26270.jpg?w=1060&t=st=1683884551~exp=1683885151~hmac=a53080997cbf768ead7314bfb2a4eb430be3da2f4caefbe22061ff25aa62d18d"
"84","172","3","0.5","37.5","Beras Ketan Putih tape","https://awsimages.detik.net.id/community/media/visual/2020/06/23/tape-ketan-putih-2.jpeg?w=1280"
"85","361","7.4","0.8","78.4","Beras Ketan Putih tumbuk","https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg"
"86","361","7.4","0.8","78.4","Beras ketan putih tumbuk mentah","https://s1.bukalapak.com/img/13260261701/large/data.jpeg"
"87","359","7.5","0.9","77.6","Beras Merah tumbuk","https://i0.wp.com/gitacinta.com/wp-content/uploads/2022/06/tepung-beras-merah.jpg?resize=650%2C276&ssl=1"
"88","360","4.7","0.1","82.1","Bihun","https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto"
"89","154","3","4.5","25.5","Bihun Goreng ","https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe"
"90","381","6.1","3.9","80.3","Bihun goreng instan","https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg"
"91","354","0.5","0.3","87.4","Bihun Jagung mentah","https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg"
"92","348","4.7","0.1","82.1","Bihun mentah","https://asset.kompas.com/crops/dTUuoSNNMAy7MfUGn3xsMru6iQY=/0x0:1000x667/780x390/data/photo/2020/10/25/5f9537b7649a3.jpg"
"93","562","21.2","49.6","23.6","Biji Jambu Mete","https://static.republika.co.id/uploads/images/inpicture_slide/biji-jambu-mete-seorang-warga-menunjukkan-biji-jambu-mete-_121124152601-814.jpg"
"94","629","21.5","56.6","19.8","Biji Jambu Mete goreng","https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg"
"95","262","2.3","5.4","51.1","Biji nangka/Biji salak","https://img-global.cpcdn.com/recipes/0df60642ab5496ab/680x482cq70/122-biji-salak-ber-nangka-foto-resep-utama.jpg"
"96","199","2.1","1.5","44.4","Bika ambon","https://upload.wikimedia.org/wikipedia/commons/4/43/Kue_bika_ambon.JPG"
"97","458","6.9","14.4","75.1","Biskuit","https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg"
"98","22","1","0.3","4.7","lengkuas","https://nilaigizi.com/assets/images/produk/produk_1537342919.png"
"99","249","3.4","0.4","58","Brem","https://upload.wikimedia.org/wikipedia/commons/c/c4/Brem_Madiun.JPG"
"100","400","4","0.7","95.3","Brondong ","https://cdn.idntimes.com/content-images/community/2020/07/lg-k15522919710053-2-25e6aa2e5c1611522cabcd2dad7de10f.jpg"
"101","71","1.7","3.1","9.1","Buah Naga Merah ","https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//85/MTA-51432240/no-brand_buah-naga-merah-segar-fresh-1-pcs_full01.jpg"
"102","56","0.8","1","10.9","Buah Naga Putih ","https://cf.shopee.co.id/file/957f1f3ed49275a0fe2f2d9ac37524e4"
"103","60","1","60","13","Bubur ","https://awsimages.detik.net.id/community/media/visual/2021/12/13/resep-bubur-ayam-cincang_43.jpeg?w=1200"
"104","72","11.4","4.9","1.4","Bulgogi masakan","https://asset.kompas.com/crops/MGdiKvcc-R0j5purun8FmiLeX_U=/0x0:0x0/750x500/data/photo/2020/12/23/5fe2c9413a6ce.jpg"
"105","35","2.4","0.2","7.7","Buncis","https://medicillin.com/admin/upload/images/information/584770af1e043.png"
"106","60","5.1","0.5","8.5","Buncis asam","https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/sasefoto/original/35264_asem-asem-buncis.JPG"
"107","30","2.2","0.2","6.4","Buncis rebus","https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/15080206/selain-enak-ini-manfaat-buncis-rebus-yang-baik-untuk-kesehatan-halodoc.jpg"
"108","45","2.6","0.3","8.1","Bunga pepaya segar","https://images.tokopedia.net/img/cache/500-square/product-1/2017/11/18/6350250/6350250_3b502bca-8413-4817-8625-302d3e4a21c0_626_381.jpg"
"109","42","2","1.1","6.1","Bunga turi segar","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/19/7e20d10e-a941-42aa-830a-bfa672dc2a81.jpg"
"110","125.7","3.3","1.9","23.9","Buras ","https://www.masakapahariini.com/wp-content/uploads/2022/06/resep-buras.jpg"
"111","281","37.5","0.3","32.1","Burung sarang segar","https://premiumnest-5c4c.kxcdn.com/wp-content/uploads/2016/07/SS_white_900x600-4.jpg"
"112","38","1.6","0.8","6.3","Cabai merah ","https://id-test-11.slatic.net/p/26cd07379e953e1da920c5c6d5b4bf00.jpg"
"113","26","0.7","0.3","5.2","Cabai hijau ","https://nilaigizi.com/assets/images/produk/produk_1537342967.jpg"
"114","367","15.9","6.2","61.8","Cabai merah kering","https://images.tokopedia.net/img/cache/700/product-1/2020/1/7/44364556/44364556_3ec62498-a7f5-4370-9a73-06ca62573e39_1024_1024"
"115","120","4.7","2.4","19.9","Cabai rawit ","https://asset.kompas.com/crops/0bQZazreqC3rXuoZOPv1FDQWLl4=/0x0:1000x667/750x500/data/photo/2020/03/26/5e7cbe05c9d12.jpg"
"116","20","1.7","0.4","3.4","Caisin segar","https://images.tokopedia.net/img/cache/700/product-1/2020/4/5/5400804/5400804_d23967b7-039f-4904-97d8-6a303aae6628_1051_1051.jpg"
"117","323","4.9","11.5","50.1","tape","https://resepkoki.id/wp-content/uploads/2016/12/Resep-Bolu-Tape.jpg"
"118","97","5.8","6.3","4.2","Cap cai sayur","https://awsimages.detik.net.id/community/media/visual/2021/12/25/resep-capcay-kuah-kental.jpeg?w=1200"
"119","24","1.9","0.2","3.7","Carica papaya segar","https://i0.wp.com/ygi.or.id/wp-content/uploads/2021/10/Manfaat-pepaya-www.ygi_.or_.id_.jpg?resize=678%2C381&ssl=1"
"120","116","3","0.4","28.6","Cempedak","https://images.genpi.co/uploads/kalbar/arsip/normal/2022/07/15/buah-cempedak-foto-istockphotocom-n3j5.jpg"
"121","330","5.2","8.9","57.4","Cengkeh kering","https://nilaigizi.com/assets/images/produk/produk_1537345513.jpg"
"122","168","13","9.6","7.5","Chicken teriyaki masakan","https://img-global.cpcdn.com/recipes/ff7dc38da72458fa/680x482cq70/ayam-teriyaki-ala-hokben-foto-resep-utama.jpg"
"123","143","9.8","1.4","22.8","Chikiniku masakan","https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing"
"124","311","8","4","48.9","Coklat bubuk","https://static.sehatq.com/content/review/image/1622196432.jpeg"
"125","472","2","29.8","62.7","Coklat Manis batang","https://www.mampu.or.id/wp-content/uploads/2022/10/6007a9065cace.jpeg"
"126","504","5.5","52.9","29.2","Coklat Pahit batang","https://nilaigizi.com/assets/images/produk/produk_1535873875.jpg"
"127","381","9","35","53.6","Coklat Susu batang","https://www.nyonyor.com/wp-content/uploads/2018/11/Harga-Coklat-Batangan-Terbaru-540x350.jpg"
"128","210","1.6","6.6","35.8","Combro ","https://assets.suaramerdeka.com/crop/7x38:699x495/750x500/webp/photo/2021/11/01/2899515089.jpg"
"129","241","16","25","0","Corned Beef","https://www.jessicagavin.com/wp-content/uploads/2023/03/corned-beef-hash-15-1200.jpg"
"130","96","6.8","5.9","3.8","Coto mangkasara kuda masakan","https://eljohnnews.com/wp-content/uploads/2018/08/Wisata-Kuliner-Coto-Makassar.png"
"131","84","6","6","1.4","Coto mangkasara sapi masakan","https://asset.kompas.com/crops/ljY1r3f3HJaNEuLip3iARQOaK-E=/0x1226:3000x3226/750x500/data/photo/2021/06/11/60c2acf88c6f0.jpg"
"132","12","0.1","0.1","5","Cuka","https://images.bisnis.com/posts/2021/02/01/1350454/cuka.jpg"
"133","265","40.6","10.1","0","Cumi-cumi goreng","https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg"
"134","75","16.1","0.7","0.1","Cumi-cumi segar","https://www.malang-guidance.com/wp-content/uploads/2018/02/Supplier-Cumi-Segar-Malang.jpg"
"135","190","19.1","12","0","Daging Sapi","https://media.istockphoto.com/id/1138359907/id/foto/daging-escalope-potongan-daging-mentah.jpg?s=612x612&w=0&k=20&c=z5mFkMyiVftjcWw5Ll8ghKdWcK0k6byDA6azNQXr7R8="
"136","191","32","6","0","Daging Asap","https://asset.kompas.com/crops/hysnw0J-U1aA8CzBNW5j_uEC3s8=/0x476:1080x1196/750x500/data/photo/2022/03/22/6239bc36b14f4.jpg"
"138","206","17.1","14.8","0","Daging Domba","https://news.unair.ac.id/wp-content/uploads/2020/10/Daging-Domba.jpg"
"139","154","16.6","9.2","0","Daging Kambing","https://imgx.parapuan.co/crop/0x0:0x0/x/photo/2021/07/20/istock-538918713jpg-20210720042557.jpg"
"140","84","18.7","0.5","0","Daging Kerbau","https://awsimages.detik.net.id/community/media/visual/2016/07/15/209987a0-2b65-461e-aec5-e7432a4012f2_169.jpg?w=700&q=90"
"141","118","18.1","4.1","0.9","Daging Kuda","https://awsimages.detik.net.id/community/media/visual/2021/07/29/fakta-daging-kuda-2.jpeg?w=724"
"142","207","18.8","14","0","Daging Sapi","https://asset.kompas.com/crops/loXNzgMXFEX_3avDpy_53_3rXsU=/1x0:1000x666/750x500/data/photo/2021/07/14/60ee601a87545.jpg"
"143","29","1.8","0.7","5.2","Daun Bawang","https://asset.kompas.com/crops/u8jpueVME4sJk32KP-0Rnjg9o1I=/479x0:1500x681/750x500/data/photo/2022/05/07/6275586c1ce7d.jpg"
"144","50","4.4","1.4","7.8","Daun belem ","https://lzd-img-global.slatic.net/g/p/92f6ecf8d15adbd5af6f3045c6bf6bbb.jpg_720x720q80.jpg"
"145","42","1.8","0.5","9.4","Daun Beluntas","https://res.cloudinary.com/dk0z4ums3/image/upload/v1616413651/attached_image/5-manfaat-daun-beluntas-untuk-kesehatan.jpg"
"146","122","6","1","26","Daun Cincau","https://cdns.klimg.com/merdeka.com/i/w/news/2020/09/04/1216320/content_images/670x335/20200904010226-2-ilustrasi-cincau-perdu-premna-oblongifolia-001-tantri-setyorini.jpg"
"147","60","3.1","0.3","14","Daun Gandaria","https://www.socfindoconservation.co.id/asset/plant/701-1-pterospermum-javanicum.jpg"
"148","73","4.6","0.5","16.2","Daun Jambu Mete muda","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/12/d3d20ad6-e9fc-4656-9ad4-6ce95d19d6a4.jpg"
"149","34","4.1","0.4","5.8","Daun Kacang Panjang","https://assets-a2.kompasiana.com/items/album/2015/06/11/143403317310358818361.JPG?t=o&v=500"
"150","40","3.7","0.3","8","Daun Kacang Panjang kukus","https://img-global.cpcdn.com/recipes/4ec6b371c573cabe/680x482cq70/sayur-bobor-lembayung-daun-kacang-panjang-foto-resep-utama.jpg"
"151","92","4","3.6","10.9","Daun singkong karet segar","https://s1.bukalapak.com/img/63611371791/large/data.jpeg"
"152","59","4.8","1","11","Daun Katuk","https://sikia.unair.ac.id/wp-content/uploads/2022/04/daunkatuk.png"
"153","53","5.3","0.9","9.1","Daun katuk rebus","https://img-global.cpcdn.com/recipes/68161cf2088797fc/680x482cq70/rebus-daun-katuk-foto-resep-utama.jpg"
"154","47","5","0.5","8.5","Daun Kecipir","https://1.bp.blogspot.com/-moRYlTt2bEM/X9bjZhiWvSI/AAAAAAAAD_c/nVwXkhZK_00JrQf6hOIrTdhb3J_Ci30cQCLcBGAsYHQ/s1055/Psophocarpus%2Btetragonolobus%2BKecipir%2B19.jpg"
"155","59","2.8","0.3","13.4","Daun Kedondong","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/3/24b383ed-0957-44ff-a84e-63251c4d77ed.jpg"
"156","82","6.7","1.7","14.3","Daun Kelor","https://diskes.badungkab.go.id/storage/diskes/image/WhatsApp%20Image%202023-01-30%20at%2013.55.59.jpeg"
"157","61","6.1","0.9","10","Daun Kelor rebus","https://img-global.cpcdn.com/recipes/ed600b784cb28839/680x482cq70/daun-kelor-rebus-foto-resep-utama.jpg"
"158","46","4","0.5","8.9","Daun Kemangi","https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/11/01025747/ini-4-manfaat-daun-kemangi-yang-jarang-diketahui-halodoc.jpg"
"159","45","3.7","0.5","6.6","Daun kenikir segar","https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2022/12/18/1000776031.jpg"
"160","48","4.5","0.8","9.1","Daun kesum segar","https://id-test-11.slatic.net/p/764fec8a7c2b4aab6a2355fc945e85c7.png"
"161","22","2.1","0.5","3.6","Daun kol sawi segar","https://asset.kompas.com/crops/MsuwGORqaxVW-qpj97DoEK4RTLs=/293x0:1145x568/780x390/data/photo/2021/09/27/61517629bbd33.jpg"
"162","23","3","0.3","3.7","Daun Koro","https://tanamankoropedang.files.wordpress.com/2011/10/bunga-koro-pedang41.jpg"
"163","51","2.5","1.1","8","Daun kubis segar","https://nilaigizi.com/assets/images/produk/produk_1599051215.jpg"
